MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20240901,4,ISPCP_S|PADRS_EFF_DT_S|ISPCP_S|NTWK_LOSS_S,13,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,3,RLTN_CNT_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S,113,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,3,NTWK_LOSS_S|ISPCP_S|RLTN_CNT_S,15,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,6,ISPCP_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|RLTN_CNT_S|ISPCP_S|RLTN_CNT_S,13,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,4,PADRS_EFF_DT_S|NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S,1,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,11,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|R3NOTFOUND_S|PADRS_EFF_DT_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S|SUPPRESS_HOSP_SPCLTY_S,1,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,3,ISPCP_S|NTWK_LOSS_S|RLTN_CNT_S,38,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,5,ISPCP_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|NTWK_LOSS_S|RLTN_CNT_S,5,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,3,PADRS_EFF_DT_S|OPT_VENDOR_S|PADRS_EFF_DT_S,10,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,4,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|R3NOTFOUND_S|PADRS_EFF_DT_S,5,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,6,R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S|RLTN_CNT_S|R3NOTFOUND_S,5,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,3,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|NTWK_LOSS_S,4,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
CA,20240901,7,RLTN_CNT_S|OPT_VENDOR_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S|RLTN_CNT_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S,2,443025,238818,154098,98835,17576,241142,270447,4089,120635,336783,11521,66447,365057,80.8,99.6,96.8
