MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20240825,3,NTWK_LOSS_S|ISPCP_S|RLTN_CNT_S,13,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,6,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|NTWK_LOSS_S|RLTN_CNT_S,5,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,3,ISPCP_S|NTWK_LOSS_S|RLTN_CNT_S,40,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,5,ISPCP_S|SUPPRESS_HOSP_SPCLTY_S|ISPCP_S|WORKER_COMP_NTWK_CHK_S|SUPPRESS_HOSP_SPCLTY_S,1,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,7,ISPCP_S|PADRS_EFF_DT_S|ISPCP_S|NTWK_LOSS_S|NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|WORKER_COMP_NTWK_CHK_S,1,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,3,RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|RLTN_CNT_S,1095,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,5,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S,33,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,3,PADRS_EFF_DT_S|OPT_VENDOR_S|PADRS_EFF_DT_S,11,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,7,ISPCP_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|ISPCP_S|WORKER_COMP_NTWK_CHK_S||WORKER_COMP_NTWK_CHK_S,2,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
CA,20240825,12,OPT_VENDOR_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S|RLTN_CNT_S|OPT_VENDOR_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S|RLTN_CNT_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S|R3NOTFOUND_S|WORKER_COMP_NTWK_CHK_S,1,444936,238934,154688,100916,18955,241683,270926,4173,120895,338057,11474,66528,366934,80.5,99.6,96.8
