MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20241006,2,NTWK_LOSS_S|OPT_VENDOR_S,78,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,3,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S,3534,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,2,ISPCP_S|NTWK_LOSS_S,1553,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,3,ISPCP_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|OPT_VENDOR_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S,3,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,4,ISPCP_S||ISPCP_S|RLTN_CNT_S,5,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,4,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|RLTN_CNT_S|ISPCP_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,6,RLTN_CNT_S|OPT_VENDOR_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|OPT_VENDOR_S,2,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,7,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S||SPCLTY_CNT_S,2,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|NO_RENDERING_NPI_CLAIMS_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,3,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,2,RLTN_CNT_S|CLM_ADRS_FIX_S,2,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,RLTN_CNT_S|OPT_VENDOR_S||RLTN_CNT_S|OPT_VENDOR_S,6,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,8,RLTN_CNT_S|OPT_VENDOR_S|RLTN_CNT_S|OPT_VENDOR_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,ISPCP_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,3,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,6,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S|SPCLTY_CNT_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,7,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S|SPCLTY_CNT_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,8,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|RLTN_CNT_S|RLTN_CNT_S|NO_RENDERING_NPI_CLAIMS_S|RLTN_CNT_S|ISPCP_S|RLTN_CNT_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,3,CLM_ADRS_FIX_S|RLTN_CNT_S|CLM_ADRS_FIX_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,4,RLTN_CNT_S|R3NOTFOUND_S|ISPCP_S|R3NOTFOUND_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,RLTN_CNT_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|ISPCP_S|RLTN_CNT_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,NO_RENDERING_NPI_CLAIMS_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|NO_RENDERING_NPI_CLAIMS_S|R3NOTFOUND_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,3,RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|SUPPRESS_HOSP_SPCLTY_S,338,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,2,NTWK_LOSS_S|SUPPRESS_HOSP_SPCLTY_S,99,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,ISPCP_S|RLTN_CNT_S|R3NOTFOUND_S|ISPCP_S|R3NOTFOUND_S,22,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,8,NO_RENDERING_NPI_CLAIMS_S|NO_RENDERING_NPI_CLAIMS_S|OPT_VENDOR_S|NO_RENDERING_NPI_CLAIMS_S|RLTN_CNT_S|NO_RENDERING_NPI_CLAIMS_S|RLTN_CNT_S|OPT_VENDOR_S,3,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,3,NTWK_LOSS_S||SPCLTY_CNT_S,3,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,4,NTWK_LOSS_S||RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S|ISPCP_S|R3NOTFOUND_S,2,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,4,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|SUPPRESS_HOSP_SPCLTY_S,3,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,7,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,7,RLTN_CNT_S|OPT_VENDOR_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S||OPT_VENDOR_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,5,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|RLTN_CNT_S|ISPCP_S|RLTN_CNT_S,2,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,2,R3NOTFOUND_S|CLM_ADRS_FIX_S,1,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
CA,20241006,6,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|RLTN_CNT_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,2,453156,240129,129653,136188,16545,227369,291332,3936,78280,390298,9530,65273,378353,83.7,99.6,97.2
