MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20250713,3,R3NOTFOUND_S|ISPCP_S|R3NOTFOUND_S,53,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,10,VIP_TIN_S|OPT_VENDOR_S|VIP_TIN_S|VIP_TIN_S|SUPPRESS_HOSP_SPCLTY_S||VIP_TIN_S|OPT_VENDOR_S|SUPPRESS_HOSP_SPCLTY_S|OPT_VENDOR_S,15,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,4,VIP_TIN_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S,1348,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,3,VIP_TIN_S|ISPCP_S|NO_RENDERING_NPI_CLAIMS_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,3,VIP_TIN_S|OPT_VENDOR_S|OPT_VENDOR_S,158,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,5,VIP_TIN_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|RLTN_CNT_S,52,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,2,VIP_TIN_S|ISPCP_S,222,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,4,VIP_TIN_S|R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S,48,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,2,RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,490,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,6,RLTN_CNT_S|OPT_VENDOR_S|OPT_VENDOR_S|RLTN_CNT_S|VIP_TIN_S|OPT_VENDOR_S,12,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,7,NO_RENDERING_NPI_CLAIMS_S|VIP_TIN_S|R3NOTFOUND_S|NO_RENDERING_NPI_CLAIMS_S|VIP_TIN_S|OPT_VENDOR_S|R3NOTFOUND_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,4,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,8,RLTN_CNT_S|VIP_TIN_S|R3NOTFOUND_S|ISPCP_S|VIP_TIN_S|R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S,2,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,4,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|VIP_TIN_S|ISPCP_S,5,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,8,ISPCP_S|VIP_TIN_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|VIP_TIN_S|SUPPRESS_HOSP_SPCLTY_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,7,ISPCP_S|VIP_TIN_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|VIP_TIN_S|RLTN_CNT_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,3,ISPCP_S|SUPPRESS_HOSP_SPCLTY_S|SUPPRESS_HOSP_SPCLTY_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,5,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|ISPCP_S|RLTN_CNT_S,3,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,15,VIP_TIN_S|VIP_TIN_S|OPT_VENDOR_S|VIP_TIN_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|VIP_TIN_S||VIP_TIN_S|OPT_VENDOR_S|SUPPRESS_HOSP_SPCLTY_S|OPT_VENDOR_S|RLTN_CNT_S|VIP_TIN_S|OPT_VENDOR_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,4,VIP_TIN_S|ISPCP_S|NTWK_LOSS_S|RLTN_CNT_S,3,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,12,RLTN_CNT_S|VIP_TIN_S|OPT_VENDOR_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|VIP_TIN_S|RLTN_CNT_S|VIP_TIN_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|VIP_TIN_S|OPT_VENDOR_S,3,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
CA,20250713,11,ISPCP_S|VIP_TIN_S|ISPCP_S|OPT_VENDOR_S|VIP_TIN_S|VIP_TIN_S|OPT_VENDOR_S|ISPCP_S|ISPCP_S|VIP_TIN_S|OPT_VENDOR_S,1,313117,169513,50555,142968,19726,151238,213789,3425,250724,134657,0,0,313117,78.1,99.6,97.3
