MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20241020,3,NTWK_LOSS_S|SPCLTY_CNT_S|RLTN_CNT_S,12,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,4,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,6,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,3,ISPCP_S|OPT_VENDOR_S|ISPCP_S,2,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,3,NO_RENDERING_NPI_CLAIMS_S|OPT_VENDOR_S|R3NOTFOUND_S,255,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,3,LN_CRCTN_S|SUPPRESS_HOSP_SPCLTY_S|LN_CRCTN_S,1,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,2,ISPCP_S|SUPPRESS_HOSP_SPCLTY_S,40,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,5,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|ISPCP_S|NO_RENDERING_NPI_CLAIMS_S|NTWK_LOSS_S,1,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,2,ISPCP_S|LN_CRCTN_S,4,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,5,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|NO_RENDERING_NPI_CLAIMS_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S,11,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,4,NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S|RLTN_CNT_S,4,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,8,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|R3NOTFOUND_S,2,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,7,ISPCP_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|RLTN_CNT_S|ISPCP_S|RLTN_CNT_S,1,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,3,ISPCP_S|RLTN_CNT_S|LN_CRCTN_S,2,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,4,ISPCP_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|SUPPRESS_HOSP_SPCLTY_S,2,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
CA,20241020,2,LN_CRCTN_S|SUPPRESS_HOSP_SPCLTY_S,1,446228,236940,124042,133728,16489,220809,289113,3449,82420,378717,5553,291407,149268,84.0,99.5,96.9
