MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20241013,2,NTWK_LOSS_S|OPT_VENDOR_S,76,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,3,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S,3389,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,2,ISPCP_S|NTWK_LOSS_S,1492,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,3,ISPCP_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,5,RLTN_CNT_S|OPT_VENDOR_S||RLTN_CNT_S|OPT_VENDOR_S,5,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,6,RLTN_CNT_S|OPT_VENDOR_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|OPT_VENDOR_S,2,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,3,CLM_ADRS_FIX_S|RLTN_CNT_S|CLM_ADRS_FIX_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,6,ISPCP_S|ISPCP_S|SUPPRESS_HOSP_SPCLTY_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,5,ISPCP_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,3,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,2,RLTN_CNT_S|CLM_ADRS_FIX_S,2,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,4,ISPCP_S||ISPCP_S|RLTN_CNT_S,4,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,7,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S||SPCLTY_CNT_S,7,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,5,RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|NO_RENDERING_NPI_CLAIMS_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,2,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,5,NTWK_LOSS_S|NPI_NTWK_LOSS_S|NO_RENDERING_NPI_CLAIMS_S||RLTN_CNT_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,6,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S|SPCLTY_CNT_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,4,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|RLTN_CNT_S|ISPCP_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,5,RLTN_CNT_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|ISPCP_S|RLTN_CNT_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
CA,20241013,8,RLTN_CNT_S|OPT_VENDOR_S|RLTN_CNT_S|OPT_VENDOR_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S,1,440983,234569,129650,127000,16556,220323,283885,3671,78597,377174,2920,64571,373492,83.9,99.5,96.9
