MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20241124,4,NTWK_LOSS_S|SPCLTY_CNT_S||SPCLTY_CNT_S,1,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,5,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|SUPPRESS_HOSP_SPCLTY_S,2,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,3,NO_RENDERING_NPI_CLAIMS_S|OPT_VENDOR_S|R3NOTFOUND_S,509,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,5,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|NO_RENDERING_NPI_CLAIMS_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S,24,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,2,ISPCP_S|SUPPRESS_HOSP_SPCLTY_S,47,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,8,R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|R3NOTFOUND_S,8,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,6,NTWK_LOSS_S|SPCLTY_CNT_S||NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S,2,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,3,ISPCP_S|RLTN_CNT_S|LN_CRCTN_S,4,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,2,ISPCP_S|LN_CRCTN_S,5,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,7,NO_RENDERING_NPI_CLAIMS_S|RLTN_CNT_S|R3NOTFOUND_S|NO_RENDERING_NPI_CLAIMS_S|R3NOTFOUND_S|RLTN_CNT_S|R3NOTFOUND_S,1,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,4,NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S|RLTN_CNT_S,10,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,4,ISPCP_S|SUPPRESS_HOSP_SPCLTY_S|ISPCP_S|RLTN_CNT_S,1,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
CA,20241124,5,ISPCP_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S||RLTN_CNT_S,2,472797,321708,59734,143863,29166,225673,308548,36754,162923,352687,2410,69102,401285,74.1,99.6,95.6
